assertion-group,count
"publication_history",253659
"copyright_and_licensing",83853
"copyright_licensing",81740
"crosscheck",81719
"peer_review",65433
"related_data",55965
"Copyright_and_licensing",38904
"multiple_resolution",36466
"copyright_and_licencing",25938
"publication_dates",21153
"author_identifiers",13987
"orcid",3016
"current-referee-status",2054
"associated_articles",2026
"article-reports",1886
"identifiers",359
"article_history",353
"copyright",271
"content_type",271
"peer_review_details",228
