funder-name,count
"National Natural Science Foundation of China",208443
"National Science Foundation",63970
"National Institutes of Health",43100
"U.S. Department of Energy",24186
"Deutsche Forschungsgemeinschaft",22192
"Natural Sciences and Engineering Research Council of Canada",17746
"National Research Foundation of Korea",16943
"Fundamental Research Funds for the Central Universities",16276
"National Basic Research Program of China",14826
"Conselho Nacional de Desenvolvimento Científico e Tecnológico",14800
"Ministry of Education, Culture, Sports, Science, and Technology",14068
"European Research Council",13485
"Japan Society for the Promotion of Science",13377
"Engineering and Physical Sciences Research Council",12140
"Australian Research Council",10920
"National Science Council",10777
"China Postdoctoral Science Foundation",9659
"NIH",9442
"European Commission",8799
"Ministerio de Economía y Competitividad",8741
