orcid,count
"http://orcid.org/0000-0002-7436-3176",59554
"http://orcid.org/0000-0002-4465-7034",59553
"http://orcid.org/0000-0002-0893-8170",20747
"http://orcid.org/0000-0001-6386-9107",6978
"http://orcid.org/0000-0001-5628-8371",2943
"http://orcid.org/0000-0002-0300-1944",159
"http://orcid.org/0000-0001-7629-3266",148
"http://orcid.org/0000-0003-2614-0303",102
"http://orcid.org/0000-0002-9950-2072",95
"http://orcid.org/0000-0003-3133-7119",79
"http://orcid.org/0000-0002-7579-8120",78
"http://orcid.org/0000-0002-1881-9044",74
"http://orcid.org/0000-0001-6492-4876",66
"http://orcid.org/0000-0002-0471-9675",64
"http://orcid.org/0000-0001-8827-162X",62
"http://orcid.org/0000-0003-2977-0255",60
"http://orcid.org/0000-0001-9523-9054",58
"http://orcid.org/0000-0003-1412-3557",56
"http://orcid.org/0000-0003-4087-8021",50
"http://orcid.org/0000-0002-1883-1115",47
