publisher-name,count
"Elsevier BV",14431498
"Springer Science + Business Media",9844523
"Wiley-Blackwell",7874651
"Informa UK Limited",3630877
"Institute of Electrical & Electronics Engineers (IEEE)",3486559
"Oxford University Press (OUP)",1957025
"Public Library of Science (PLoS)",1908573
"JSTOR",1854654
"SAGE Publications",1831258
"Ovid Technologies (Wolters Kluwer Health)",1703873
"Cambridge University Press (CUP)",1652137
"American Chemical Society (ACS)",1392729
"Nature Publishing Group",1208157
"Walter de Gruyter GmbH",1031891
"BMJ",778229
"Brill Academic Publishers",720454
"American Psychological Association (APA)",716360
"AIP Publishing",680628
"IOP Publishing",660164
"Thieme Publishing Group",638914
